First Name - Bachelor,Last Name - Bachelor,First Name - Winner,Last Name - Winner,Season,Marriage Status,Picture
Alex,Michel,Amanda,Marsh,1,Never Engaged,public/css/images/couple-pics/season1.jpg
Aaron,Buerge,Helene,Eksterowicz,2,Once Engaged,public/css/images/couple-pics/season2.jpg
Jesse,Palmer,Jessica,Bowlin,5,Never Engaged,public/css/images/couple-pics/season5.jpg
Lorenzo,Borghese,Jennifer,Wilson,9,Never Engaged,public/css/images/couple-pics/season9.jpg
Andy,Baldwin,Tessa,Horst,10,Once Engaged,public/css/images/couple-pics/season10.jpg
Stephen Bradley,Womack,No,Winner,11,See Season 15,public/css/images/couple-pics/season11.jpg
Matt,Grant,Shayne,Lamas,12,Once Engaged,public/css/images/couple-pics/season12.jpg
Jason,Mesnick,Melissa,Rycroft,13,Married to Runner-up,public/css/images/couple-pics/season13.jpg
Jake,Pavelka,Vienna,Girardi,14,Once Engaged,public/css/images/couple-pics/season14.jpg
Stephen Bradley,Womack,Emily,Maynard,15,Once Engaged,public/css/images/couple-pics/season15.jpg
Ben,Flajnik,Courtney,Robertson,16,Once Engaged,public/css/images/couple-pics/season16.jpg
Sean,Lowe,Catherine,Giudici,17,Married,public/css/images/couple-pics/season17.jpeg
Juan Pablo,Galavis Guinand,Nikki,Ferrell,18,Never Engaged,public/css/images/couple-pics/season18.jpg
Chris,Soules,Whitney,Bischoff,19,Once Engaged,public/css/images/couple-pics/season19.jpg
Ben,Higgins,Lauren,Bushnell,20,Once Engaged,public/css/images/couple-pics/season20.jpg
Nick,Viall,Vanessa,Grimaldi,21,Once Engaged,public/css/images/couple-pics/season1.jpg